City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Oranjemund,0,ZA,1559411910,87,-28.55,16.43,57.47,10.38
Igarka,96,RU,1559411911,96,67.47,86.57,32.81,9.93
Cape Town,0,ZA,1559411676,93,-33.93,18.42,59.0,9.17
Jamestown,46,AU,1559411795,88,-33.21,138.6,49.55,4.43
Katherine,16,AU,1559411911,32,-14.47,132.26,66.2,11.41
Busselton,3,AU,1559411912,52,-33.64,115.35,55.0,14.29
Roald,75,NO,1559411912,76,62.58,6.12,51.8,4.7
Bambous Virieux,75,MU,1559411912,88,-20.34,57.76,77.0,6.93
Cidreira,100,BR,1559411913,81,-30.17,-50.22,63.05,8.93
Rikitea,100,PF,1559411913,76,-23.12,-134.97,73.49,20.96
Camopi,64,GF,1559411913,92,3.17,-52.33,81.95,3.83
Codrington,90,AU,1559411914,93,-28.95,153.24,59.0,3.8
Albany,1,US,1559411914,64,42.65,-73.75,79.0,5.82
Ushuaia,75,AR,1559411859,75,-54.81,-68.31,37.4,14.99
Rabat,0,MA,1559411914,34,34.02,-6.83,84.0,10.29
Nikolskoye,0,RU,1559411915,36,59.7,30.79,63.0,2.24
Ponta do Sol,2,BR,1559411915,57,-20.63,-46.0,77.99,7.34
Devarkonda,78,IN,1559411915,38,16.69,78.91,93.29,6.38
Moussoro,33,TD,1559411916,22,13.64,16.49,99.95,8.3
East London,0,ZA,1559411721,82,-33.02,27.91,64.4,6.93
Hami,1,CN,1559411916,14,42.84,93.51,74.75,21.72
Georgetown,75,GY,1559411735,74,6.8,-58.16,84.2,16.11
San Patricio,86,PY,1559411917,88,-26.98,-56.83,65.57,2.04
Yellowknife,75,CA,1559411917,61,62.45,-114.38,46.4,16.11
Calvinia,16,ZA,1559411703,63,-31.47,19.78,57.65,3.22
Butaritari,92,KI,1559411918,72,3.07,172.79,83.03,4.23
Gat,0,SN,1559411918,54,14.69,-16.54,80.6,18.34
Sorong,92,ID,1559411918,96,-0.86,131.25,75.83,1.66
Ayagoz,5,KZ,1559411919,44,47.96,80.43,58.55,0.98
Hilo,90,US,1559411919,78,19.71,-155.08,75.0,8.05
Saint Anthony,1,US,1559411920,55,43.97,-111.68,66.0,3.36
Salalah,20,OM,1559411920,84,17.01,54.1,86.0,6.93
Marathon,40,CA,1559411920,50,48.72,-86.38,53.6,5.82
Castro,40,CL,1559411921,81,-42.48,-73.76,53.6,13.87
Kapaa,75,US,1559411921,88,22.08,-159.32,77.0,8.05
Bluff,100,AU,1559411921,83,-23.58,149.07,55.85,8.28
New Norfolk,20,AU,1559411921,81,-42.78,147.06,44.6,6.93
Constitucion,90,MX,1559411922,38,23.99,-104.67,79.0,6.26
Punta Arenas,90,CL,1559411922,86,-53.16,-70.91,41.0,25.28
Saint George,20,GR,1559411922,56,39.45,22.34,75.2,6.93
Esperance,40,TT,1559411922,49,10.24,-61.45,90.0,13.87
Longyearbyen,0,NO,1559411923,59,78.22,15.63,35.6,12.75
Upernavik,39,GL,1559411923,87,72.79,-56.15,31.19,3.91
Rorvik,81,NO,1559411923,76,64.86,11.24,46.99,1.01
Lebu,91,ET,1559411924,70,8.96,38.73,62.33,1.68
Barrow,52,AR,1559411924,51,-38.31,-60.23,62.33,12.41
Grand Gaube,75,MU,1559411924,88,-20.01,57.66,77.0,6.93
Parkes,0,AU,1559411924,89,-33.14,148.18,43.0,3.02
Port Elizabeth,1,US,1559411925,47,39.31,-74.98,84.0,5.82
Shingu,100,JP,1559411925,85,33.72,135.99,52.43,3.42
Mahebourg,75,MU,1559411855,88,-20.41,57.7,77.0,6.93
Puerto Ayora,20,EC,1559411926,65,-0.74,-90.35,82.4,19.46
Beloha,10,MG,1559411926,77,-25.17,45.06,67.19,13.27
Hobart,20,AU,1559411926,81,-42.88,147.33,44.6,6.93
Manyana,7,AU,1559411926,93,-35.26,150.51,61.0,6.93
Wilmington,1,US,1559411733,36,39.75,-75.55,84.0,3.36
Isla Vista,90,US,1559411927,82,34.41,-119.86,61.0,5.1
Clarence Town,90,AU,1559411927,100,-32.59,151.78,57.0,8.05
Hermanus,16,ZA,1559411927,93,-34.42,19.24,57.99,13.58
Mokhsogollokh,100,RU,1559411928,92,61.4,128.95,40.91,4.79
Redmond,90,US,1559411876,82,47.67,-122.12,66.0,5.82
Mao,20,DO,1559411928,45,19.55,-71.08,91.0,10.29
Hot Springs,1,US,1559411797,42,34.5,-93.06,88.0,4.7
Gorontalo,77,ID,1559411929,86,0.54,123.06,77.45,3.91
Chirnogeni,20,RO,1559411929,64,43.9,28.23,75.2,5.82
Port Alfred,0,ZA,1559411778,91,-33.59,26.89,62.01,1.99
Vaini,71,IN,1559411929,76,15.34,74.49,81.59,2.26
Mandalgovi,36,MN,1559411930,57,45.76,106.27,49.01,19.93
Piacabucu,55,BR,1559411930,67,-10.41,-36.43,83.93,8.72
Cherskiy,99,RU,1559411931,68,68.75,161.3,42.71,12.44
Sioux Lookout,40,CA,1559411791,37,50.1,-91.92,57.2,20.8
Yulara,0,AU,1559411931,70,-25.24,130.99,46.4,6.93
Severo-Kurilsk,100,RU,1559411931,91,50.68,156.12,40.55,10.98
Kavieng,84,PG,1559411932,75,-2.57,150.8,83.93,11.61
Naranjal,90,PY,1559411932,88,-25.97,-55.19,68.0,4.7
Gamba,50,CN,1559411932,40,28.28,88.52,39.83,7.56
Bethel,90,US,1559411933,87,60.79,-161.76,51.8,4.14
Cabo San Lucas,5,MX,1559411851,48,22.89,-109.91,86.0,11.41
Yar-Sale,19,RU,1559411934,90,66.83,70.83,25.79,7.02
Clyde River,5,CA,1559411934,96,70.47,-68.59,37.4,6.93
Coquimbo,0,CL,1559411934,67,-29.95,-71.34,70.0,12.75
Ballina,90,IE,1559411934,82,54.11,-9.15,62.6,4.7
Unai,6,BR,1559411935,42,-16.36,-46.91,83.75,3.94
